,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,13,mettre,to put
14,14,laisse,leash
15,15,eux,them
16,16,ville,city
17,17,chaque,each
18,18,parlé,speak
19,19,devrait,should
20,21,longtemps,long time
21,22,heures,hours
22,23,vont,will
23,24,pendant,while
24,25,revoir,meet again
25,26,aucune,any
26,27,place,square
27,28,parle,speak
28,29,compris,understood
29,31,étaient,were
30,32,attention,Warning
31,33,voici,here is
32,34,pourrais,could
33,35,affaire,case
34,36,donner,give
35,37,leurs,their
36,38,donné,given
37,39,train,train
38,40,corps,body
39,41,endroit,place
40,42,yeux,eyes
41,43,façon,way
42,44,écoute,listen
43,45,dont,whose
44,46,trouve,find
45,47,premier,first
46,48,perdu,lost
47,49,main,hand
48,50,première,first
49,51,côté,side
50,52,pouvoir,power
51,53,vieux,old
52,55,tiens,here
53,56,enfant,child
54,57,point,point
55,58,venu,came
56,59,suite,after
57,60,pardon,sorry
58,61,venez,come
59,62,devant,in front of
60,63,vers,towards
61,64,minutes,minutes
62,65,demandé,request
63,66,chambre,bedroom
64,67,mis,placed
65,68,belle,beautiful
66,69,droit,law
67,70,aimerais,would like to
68,71,aujourd'hui,today
69,72,mari,husband
70,73,cause,cause
71,74,enfin,finally
72,75,espère,hope
73,76,eau,water
74,77,attendez,Wait
75,78,parti,left
76,79,nouvelle,new
77,80,arrêter,Stop
78,81,dirait,would say
79,82,terre,Earth
80,83,compte,account
81,84,donne,given
82,85,loin,far
83,86,fin,end
84,87,croire,believe
85,88,chérie,sweetheart
86,89,gros,large
87,90,plutôt,rather
88,91,aura,will have
89,92,filles,girls
90,93,jouer,to play
91,94,bureau,office
